avg_vote,metascore,tomatometer_score,audience_score,usa_gross_income,worldwide_gross_income
5.4,42.0,34%,31%, 32100816,32100816
7.2,67.0,78%,84%, 107533928,132440069
6.7,40.0,60%,61%, 144731527,321731527
6.5,65.0,57%,61%, 692585,692585
7.3,80.0,92%,80%, 7286388,7286388
6.6,,40%,56%, 1014726,1014726
7.2,,65%,81%, 1862805,1862805
7.7,72.0,88%,91%, 48169910,48169910
6.4,,81%,69%, 6742168,6742168
6.0,,19%,46%, 45500797,45500797
6.0,48.0,24%,32%, 14358033,14358033
6.5,46.0,23%,65%, 50752337,50752337
5.5,,16%,51%, 40227006,40227006
5.4,,9%,43%, 2034470,2034470
6.0,,13%,41%, 20883046,20883046
5.9,,58%,38%, 13351357,13351357
7.7,64.0,75%,85%, 27281507,32090708
7.6,68.0,86%,87%, 52929168,64088552
7.0,46.0,39%,88%, 2819485,2819485
5.9,,24%,38%, 44065653,44065653
7.4,,100%,82%, 4814619,4814619
6.9,64.0,73%,73%, 83351587,178051587
7.0,,69%,78%, 4058564,4058564
7.5,86.0,98%,84%, 21706101,21706101
6.5,,65%,52%, 3067917,3067917
7.0,,33%,72%, 4651977,4651977
6.1,,57%,41%, 21370057,37170057
6.3,,43%,55%, 14356479,14356479
7.0,79.0,95%,75%, 2502551,2502551
8.3,79.0,92%,94%, 2832029,2859750
7.2,68.0,80%,83%, 43440294,43440294
8.0,59.0,88%,92%, 63095253,134095253
6.7,,52%,55%, 2735731,2735731
7.2,,91%,89%, 141554,143010
6.4,63.0,54%,44%, 48017402,48017402
6.4,51.0,73%,65%, 139605150,231605150
7.1,,79%,80%, 51432691,105232691
6.8,,100%,83%, 1373196,1373196
6.2,,44%,55%, 10736401,10736401
4.3,,8%,21%, 28411210,70611210
5.6,,22%,39%, 12282994,12282994
7.1,72.0,93%,87%, 11738022,11738022
6.8,,89%,75%, 22660758,22660758
5.3,,14%,40%, 3560469,3560469
5.1,40.0,30%,39%, 23278931,23278931
6.3,,69%,47%, 13249535,13249535
6.5,58.0,79%,62%, 83563139,156563139
6.5,,25%,58%, 221295,221295
8.2,85.0,96%,93%, 101157447,159157447
6.0,35.0,31%,46%, 36299898,36299898
6.1,,44%,37%, 17957265,17957265
6.6,,53%,61%, 1100218,1100218
7.0,57.0,84%,84%, 121697323,183097323
6.7,,80%,74%, 390152,390152
5.5,,33%,34%, 11124511,11124511
6.5,57.0,50%,82%, 5519569,5519569
6.7,62.0,77%,63%, 48919043,48919043
6.2,,73%,50%, 24103594,24103594
7.2,90.0,84%,75%, 32255440,32255440
6.3,,21%,59%, 2850263,2850263
7.1,,59%,68%, 36733909,36733909
7.4,,87%,86%, 112547,112547
7.5,57.0,73%,87%, 11502976,11502976
6.0,,22%,67%, 8041049,8041049
7.8,,84%,88%, 5635204,5635204
4.9,,23%,30%, 53443066,118243066
5.5,33.0,54%,42%, 1519366,1519366
5.9,65.0,71%,38%, 428868,428868
4.5,,8%,23%, 13273595,13273595
4.9,,18%,21%, 10058318,10058318
6.5,68.0,82%,64%, 212483,212483
7.8,80.0,97%,93%, 17287898,17287898
5.1,,11%,31%, 2570550,2570550
7.9,65.0,81%,91%, 36948322,63851527
4.3,18.0,22%,20%, 6980986,6980986
7.1,,90%,83%, 26351,26351
6.4,60.0,68%,52%, 84049211,255000211
7.0,60.0,76%,81%, 68856263,154856263
5.8,,25%,41%, 13609396,13609396
5.7,,41%,35%, 23671,1261210
6.0,53.0,58%,38%, 10611160,10611160
6.8,76.0,95%,72%, 63270710,63270710
7.6,78.0,92%,90%, 7993039,7993039
4.0,,34%,37%, 18369,18369
6.7,34.0,60%,66%, 58055768,58055768
3.7,,13%,26%, 2341309,2341309
7.0,,71%,79%, 35113743,63513743
5.0,28.0,14%,43%, 1450029,1450029
7.6,56.0,73%,84%, 40903593,40903593
6.6,,42%,57%, 19885552,19885552
6.8,58.0,75%,64%, 158348367,270248367
6.2,,37%,45%, 11146270,11146270
5.9,79.0,68%,50%, 77698625,153698625
7.8,87.0,96%,89%, 183875760,368875760
7.6,,77%,89%, 10769960,10769960
4.5,,11%,23%, 5086909,5086909
6.4,,26%,54%, 44789789,60613008
8.0,72.0,96%,88%, 70906973,70906973
5.6,,38%,34%, 22866222,22866222
