avg_vote,metascore,tomatometer_score,audience_score,usa_gross_income,worldwide_gross_income
5.8,22.0,27%,72%, 117608,117608
4.6,41.0,25%,14%, 929606,1281813
4.5,10.0,13%,32%, 4159986,4775009
5.7,24.0,19%,54%, 37761915,90726668
7.6,74.0,83%,87%, 50699241,73956241
8.0,77.0,83%,89%, 22455976,48451803
4.2,24.0,5%,24%, 10667893,10667893
5.9,31.0,29%,47%, 5108820,12591270
5.4,18.0,14%,45%, 146193,146193
7.3,70.0,89%,79%, 71583916,90683916
6.4,59.0,47%,64%, 182618434,328718434
6.6,59.0,63%,66%, 6835856,10011050
6.6,39.0,39%,74%, 2205627,2595216
4.1,22.0,14%,28%, 28149,28149
6.1,34.0,32%,37%, 24403552,56359980
3.8,12.0,4%,19%, 4420080,7103973
7.3,70.0,75%,83%, 7065332,17989227
8.3,68.0,79%,93%, 3635482,7390108
6.5,,50%,79%, 2276602,2276602
5.6,41.0,42%,28%, 6291602,14145677
6.3,46.0,36%,65%, 68518533,117758500
7.3,62.0,74%,79%, 51804714,80049764
7.6,80.0,90%,80%, 132072926,358372926
6.3,57.0,55%,41%, 13596911,14026418
7.6,86.0,93%,85%, 124115725,207515725
7.9,90.0,89%,92%, 32534850,47383689
7.0,63.0,66%,78%, 16970581,28780255
6.0,35.0,49%,40%, 299792,299792
6.9,42.0,36%,58%, 58223861,87423861
6.6,49.0,47%,57%, 90570999,149270999
5.7,34.0,24%,30%, 60883407,110983407
7.0,56.0,72%,64%, 46566212,97837138
7.0,77.0,81%,74%, 8598593,10994533
6.9,56.0,58%,79%, 56569702,117487473
6.1,53.0,64%,58%, 16025437,19260537
6.5,77.0,79%,65%, 56937502,99274467
5.1,34.0,29%,27%, 60020107,62464731
7.3,73.0,82%,83%, 19393557,33426588
2.5,9.0,3%,12%, 21471685,29725663
5.6,28.0,30%,42%, 40846082,42593455
5.3,38.0,22%,56%, 39464775,58292295
6.5,81.0,87%,56%, 140539099,248639099
5.7,25.0,29%,46%, 15506764,15910104
7.3,67.0,70%,81%, 45010278,68106245
5.3,46.0,22%,70%, 19823,19823
6.4,73.0,78%,53%, 90464773,128884132
5.7,48.0,28%,42%, 13305101,16923761
5.7,52.0,52%,32%, 36805288,53425292
5.0,13.0,3%,49%, 20069008,24419914
6.1,33.0,58%,47%, 9660,10501958
6.7,52.0,57%,68%, 82348319,155010032
5.0,,26%,28%, 19440089,19440089
6.1,51.0,58%,39%, 5142576,16171098
7.1,53.0,59%,89%, 104257,104257
5.9,23.0,19%,64%, 2924635,2924635
5.8,38.0,33%,53%, 4781539,16176732
6.6,56.0,73%,71%, 3165544,3728888
6.9,71.0,82%,74%, 8293784,11155214
6.7,47.0,45%,64%, 57262492,106371651
6.3,53.0,44%,23%, 367098,367098
3.6,14.0,10%,19%, 15391970,33978694
7.7,69.0,77%,89%, 45512588,71868327
6.6,44.0,31%,61%, 51080,184301
5.9,48.0,48%,41%, 69243859,215663859
5.5,53.0,42%,66%, 30250745,32445215
6.6,30.0,41%,66%, 44737059,50054511
6.0,46.0,33%,50%, 37170488,62198945
5.7,45.0,55%,55%, 13572400,27965865
5.6,24.0,9%,43%, 35046120,50802120
4.3,16.0,9%,20%, 21468807,38574362
5.2,47.0,57%,Nan, 2000,2000
5.2,29.0,2%,29%, 623374,763740
6.6,77.0,91%,62%, 779137,779137
6.9,62.0,63%,83%, 12178602,28741330
7.3,73.0,84%,81%, 125595205,256271286
6.7,36.0,35%,68%, 53331147,112880294
5.2,25.0,17%,61%, 10522168,10873148
6.1,41.0,22%,76%, 57328603,59827328
4.0,43.0,20%,40%, 1248746,1248746
6.7,69.0,66%,57%, 17266359,29934477
6.5,61.0,64%,80%, 45172250,60780981
5.5,32.0,11%,25%, 8434146,8678812
8.0,78.0,96%,90%, 289916256,632316649
5.3,46.0,32%,34%, 4750602,23726793
5.7,34.0,14%,28%, 17480890,33463969
7.2,69.0,79%,74%, 30060660,64828421
3.9,23.0,17%,15%, 10155690,10155690
6.5,76.0,84%,66%, 1055671,1182065
5.7,27.0,23%,71%, 60786269,113916474
5.9,62.0,53%,39%, 3050532,5753678
6.3,54.0,53%,59%, 17008282,19334145
6.7,49.0,45%,70%, 6055661,13200972
7.6,66.0,76%,89%, 57386607,184928135
7.2,56.0,42%,81%, 48818921,82343495
6.8,46.0,46%,66%, 1443067,1961054
6.6,65.0,82%,58%, 43805,43805
5.4,29.0,11%,50%, 21799652,25850615
5.1,30.0,10%,27%, 41821986,76899937
5.3,22.0,10%,29%, 28946615,47267829
6.0,52.0,63%,66%, 68379000,90449929
5.7,30.0,22%,42%, 65538755,92938755
4.0,19.0,21%,42%, 15933506,19748009
6.4,43.0,28%,50%, 517262,517262
6.2,42.0,55%,66%, 268117,268117
6.2,53.0,52%,59%, 91057006,131706809
6.6,75.0,74%,65%, 21974919,36642838
5.3,41.0,35%,42%, 5020111,10194274
7.9,84.0,92%,85%, 35552383,70099445
7.2,48.0,52%,76%, 568762,595005
6.4,47.0,0%,29%, 182811707,374111707
5.1,33.0,30%,57%, 117559438,173959438
8.3,55.0,73%,93%, 30328156,83557872
6.9,59.0,76%,73%, 17872723,22428990
5.2,24.0,84%,85%, 14967182,19412993
8.4,80.0,93%,94%, 25544867,39723096
6.3,48.0,47%,63%, 202019785,443280904
5.3,33.0,16%,59%, 60400856,94728529
6.3,40.0,45%,57%, 61334059,104155843
6.8,70.0,89%,78%, 2554,2554
6.7,70.0,88%,75%, 1565852,1666028
7.2,63.0,74%,78%, 3059834,3171273
5.9,45.0,35%,39%, 109130,321279
5.6,23.0,16%,55%, 3157348,3169930
6.7,52.0,42%,82%, 17200925,26385941
7.8,48.0,73%,93%, 115654751,136706683
4.9,35.0,31%,32%, 66957026,183611771
4.4,25.0,20%,25%, 13121555,17077882
8.3,69.0,88%,95%, 33225499,173924742
6.5,33.0,14%,Nan, 14377198,32685679
5.8,39.0,47%,27%, 15325127,15471969
6.2,43.0,42%,69%, 106807667,212742720
5.7,35.0,11%,38%, 318823,318823
6.6,54.0,57%,80%, 1115313,1162001
6.8,57.0,39%,62%, 165092268,351692268
6.2,44.0,24%,66%, 198542554,449220945
5.2,22.0,11%,42%, 13616610,13743212
6.4,55.0,58%,65%, 68540777,119754278
7.6,53.0,54%,82%, 51401758,96976270
5.9,49.0,41%,33%, 34604280,96085477
4.2,18.0,8%,26%, 1247949,1247949
7.1,49.0,49%,76%, 1871025,3033646
7.5,72.0,73%,81%, 77812000,193772504
5.4,23.0,23%,52%, 12394327,12452362
7.3,62.0,70%,77%, 95011339,248118121
6.3,56.0,48%,78%, 75228,75228
6.4,62.0,62%,49%, 669258,885836
3.9,20.0,4%,26%, 3111545,4299141
6.1,31.0,24%,50%, 11328094,18195610
7.4,78.0,94%,89%, 18715392,20789556
6.1,33.0,12%,61%, 16534221,35402320
6.8,42.0,53%,67%, 75793305,124745083
4.8,26.0,17%,39%, 33022767,47053625
6.6,62.0,57%,55%, 12008642,44567606
5.0,31.0,22%,19%, 10042516,10890222
6.3,53.0,62%,62%, 45554533,96159800
6.0,65.0,68%,49%, 1057750,1431406
4.0,19.0,11%,25%, 30354442,37664855
7.6,52.0,55%,87%, 52990775,83282296
7.2,65.0,72%,89%, 236185,236185
6.5,56.0,69%,64%, 279225,279225
5.8,34.0,21%,39%, 18150259,23619609
7.2,47.0,47%,79%, 450594,15250594
7.2,40.0,39%,77%, 33519628,55707411
5.1,34.0,26%,40%, 60902,60902
6.4,62.0,71%,67%, 5313300,5480653
6.8,71.0,73%,67%, 71107711,113579918
5.4,71.0,93%,46%, 112719001,147934180
6.2,45.0,39%,43%, 32598931,62761005
6.0,49.0,82%,74%, 37886980,90383208
6.7,27.0,15%,76%, 25288103,65754228
4.8,37.0,11%,25%, 25635682,39438674
5.7,16.0,3%,51%, 6080065,6282446
5.5,32.0,20%,40%, 64186502,71186502
6.8,58.0,53%,74%, 144533925,207284863
6.0,21.0,14%,46%, 15749959,18720175
5.5,33.0,19%,27%, 40077257,78382433
7.2,62.0,73%,72%, 281576461,828770175
5.8,45.0,38%,37%, 2036682,2534372
5.0,21.0,8%,41%, 19753553,19772447
7.1,41.0,64%,82%, 764554,1073198
5.3,47.0,53%,52%, 14271015,14866015
6.1,43.0,54%,44%, 66845033,147845033
6.1,66.0,77%,46%, 13729742,28008462
6.8,71.0,78%,59%, 19733089,29419291
5.9,36.0,28%,50%, 25543895,62112895
7.4,33.0,40%,81%, 1203794,5368217
5.3,30.0,17%,66%, 30336800,45479110
7.0,69.0,77%,79%, 1815864,2036599
7.6,,89%,88%, 2745382,5427830
5.1,47.0,54%,32%, 93385515,200687492
5.9,22.0,18%,51%, 19402030,26086706
5.0,21.0,9%,32%, 5520393,12320393
6.4,49.0,56%,54%, 2402652,3520373
4.7,49.0,42%,26%, 112952899,176104344
6.5,49.0,100%,86%, 18306166,29882645
4.6,13.0,10%,56%, 14254993,14343028
7.8,74.0,82%,80%, 183417150,450717150
6.9,52.0,58%,79%, 50294317,77516304
5.4,12.0,10%,50%, 5285941,6413915
6.2,53.0,49%,50%, 16136476,19463185
7.2,64.0,62%,83%, 71509363,152699946
7.6,64.0,81%,82%, 318087620,978087613
5.9,24.0,7%,54%, 29760152,31167388
6.1,42.0,15%,42%, 471210,1198113
5.5,30.0,17%,47%, 46729800,73180723
5.6,39.0,33%,45%, 51758599,79958599
4.9,49.0,33%,33%, 56653,56653
7.1,73.0,84%,78%, 1138836,1846059
6.7,47.0,35%,60%, 139313948,427344031
4.8,18.0,12%,33%, 20384136,36684136
7.5,73.0,81%,85%, 7504257,18916623
6.7,66.0,80%,81%, 71543427,281929795
5.4,28.0,13%,55%, 173599,173599
5.4,66.0,81%,41%, 64956806,169956806
6.6,42.0,38%,76%, 295206,295206
5.6,53.0,39%,43%, 37950822,95146283
6.0,25.0,14%,68%, 13342790,13678913
6.5,32.0,25%,59%, 69772969,147080413
6.4,48.0,33%,62%, 741394,5323109
5.3,35.0,7%,41%, 7288451,8704851
6.1,51.0,33%,50%, 40914068,77628265
5.9,20.0,10%,63%, 27087695,30987695
5.5,40.0,23%,38%, 23358708,37713879
7.8,61.0,73%,88%, 54234062,75395048
5.6,48.0,28%,72%, 23249649,23396049
6.5,29.0,21%,58%, 14460,14460
6.1,56.0,57%,41%, 160942139,431971116
6.5,47.0,17%,28%, 7267307,8493890
8.0,88.0,87%,80%, 1478493,4269636
3.1,14.0,3%,14%, 18990798,25852764
5.4,15.0,14%,42%, 13558739,23430766
7.2,75.0,83%,82%, 416925,1309316
7.4,86.0,93%,81%, 35930604,44763181
4.6,24.0,10%,39%, 13670733,13802599
6.3,52.0,48%,68%, 108248956,165335153
7.1,48.0,35%,90%, 18492362,23182223
6.8,65.0,68%,65%, 58203105,87812729
7.7,85.0,92%,93%, 3067312,3644200
6.5,,100%,69%, 731277,1340718
7.7,74.0,85%,89%, 21995263,109280263
5.6,29.0,24%,37%, 45246095,54249294
6.5,61.0,63%,69%, 16937988,19937988
6.4,50.0,63%,85%, 27457409,27958191
4.7,20.0,7%,39%, 23980304,25272752
6.5,78.0,82%,59%, 8823109,10031529
6.4,38.0,30%,74%, 4720371,4760014
6.2,59.0,70%,72%, 96520674,141774679
6.4,52.0,44%,64%, 56618055,85498534
5.4,24.0,23%,44%, 33357476,43057552
6.7,63.0,50%,68%, 52775765,119137784
6.1,40.0,83%,44%, 38345494,98376292
6.3,49.0,59%,48%, 19077641,32287044
6.4,45.0,42%,77%, 105813373,177371441
7.1,30.0,23%,78%, 71756802,102244770
6.1,31.0,20%,65%, 12634962,16829545
5.4,19.0,7%,29%, 11663156,14614892
5.2,45.0,39%,43%, 94011225,154906693
4.8,19.0,7%,51%, 23662,121258
6.8,56.0,73%,72%, 354421,2300684
7.4,80.0,87%,86%, 6199600,16217411
7.0,58.0,69%,74%, 517872,621592
6.9,55.0,49%,64%, 24185781,30919415
6.5,66.0,29%,41%, 23510841,28510652
6.4,43.0,52%,68%, 145103595,287553595
6.2,39.0,42%,49%, 43061982,82150183
6.9,63.0,76%,69%, 10133,10133
5.9,58.0,48%,51%, 447267,501442
5.2,32.0,27%,65%, 24718164,69319426
6.2,56.0,66%,69%, 414358,499891
4.3,11.0,100%,73%, 3684305,44310395
4.8,43.0,30%,28%, 57743062,85191134
6.4,55.0,71%,87%, 28734552,29381649
6.3,52.0,64%,58%, 10113733,14815898
5.9,48.0,50%,45%, 70839203,141069860
6.2,45.0,38%,78%, 127223418,180622424
6.7,52.0,46%,53%, 7517191,18914307
7.7,72.0,81%,86%, 104454762,181001478
6.0,45.0,48%,52%, 116934650,207725639
5.3,29.0,15%,52%, 71308997,141220678
7.1,85.0,85%,74%, 65016287,105834556
5.0,31.0,17%,30%, 19297522,29621722
4.4,16.0,8%,29%, 66934963,88929111
6.4,48.0,31%,50%, 41543917,63781810
6.8,65.0,75%,63%, 96397334,197079546
7.0,84.0,87%,72%, 12988801,27674124
7.9,68.0,83%,93%, 121661683,214034224
5.6,41.0,31%,48%, 5007898,5007898
5.2,35.0,26%,48%, 115802596,228738393
6.5,62.0,76%,73%, 241438208,368744044
6.9,45.0,42%,72%, 100618344,203388341
6.3,38.0,24%,49%, 55001642,100020092
5.3,18.0,4%,26%, 16930185,20146150
6.8,51.0,52%,75%, 30085147,33788161
6.4,58.0,64%,63%, 378176,1612259
6.0,38.0,21%,62%, 17600423,18591272
7.4,82.0,84%,85%, 247406,283846
6.2,49.0,46%,48%, 37904175,59371303
5.7,,55%,67%, 4245870,4245870
6.1,33.0,14%,60%, 37182494,44617342
5.2,27.0,14%,34%, 15614000,19526014
6.5,34.0,21%,63%, 26793311,42792561
8.1,75.0,96%,89%, 164615351,352114312
6.4,69.0,77%,53%, 66818548,94935764
7.2,64.0,74%,78%, 13110448,17423030
6.4,72.0,83%,65%, 7025722,10013424
7.5,45.0,47%,88%, 15667270,23903791
6.2,50.0,31%,49%, 31945749,56714147
5.7,44.0,32%,40%, 93607673,138307673
7.7,74.0,76%,88%, 108638745,172989651
4.9,32.0,14%,34%, 33426971,39976235
6.7,47.0,56%,69%, 14589444,30381722
5.4,36.0,44%,44%, 48360547,52970014
6.6,57.0,51%,54%, 1435016,2006391
7.3,77.0,95%,87%, 13885966,30787356
6.4,52.0,52%,56%, 35746370,55305279
6.8,64.0,81%,65%, 31597131,52223306
6.6,43.0,60%,56%, 36706141,44460850
7.6,76.0,80%,89%, 52364010,71441250
5.1,25.0,9%,39%, 14036406,14277032
6.3,63.0,75%,51%, 3209481,3646994
6.3,38.0,42%,66%, 8364691,8382938
6.1,36.0,11%,62%, 26736098,44350926
8.1,90.0,99%,86%, 380843261,969023261
2.8,20.0,8%,30%, 1648818,1675706
6.6,48.0,52%,74%, 226164286,347325802
6.0,65.0,74%,43%, 13411,13411
7.1,63.0,66%,75%, 62362560,143049560
4.9,36.0,16%,31%, 10727683,12302219
6.7,58.0,61%,52%, 35168966,65716126
5.9,25.0,14%,51%, 43905746,74005691
5.0,35.0,30%,38%, 153294164,275650703
7.5,60.0,77%,82%, 176387405,383257136
7.0,74.0,83%,71%, 3288164,3706652
6.0,42.0,75%,79%, 56832494,123729176
8.2,72.0,74%,93%, 170742341,316791257
6.9,27.0,42%,60%, 27807266,37317558
6.1,50.0,48%,40%, 22449000,29676703
6.1,35.0,41%,83%, 22235901,22391450
7.0,67.0,79%,75%, 16007718,33013805
4.7,55.0,33%,27%, 5350371,7093284
1.9,9.0,0%,24%, 9219388,9448644
4.7,15.0,8%,23%, 15550605,18191005
5.2,39.0,40%,36%, 1000,1000
6.6,58.0,51%,68%, 36845124,64437847
6.1,71.0,78%,57%, 2891288,3200241
6.4,61.0,55%,56%, 336620,4172703
5.4,53.0,48%,32%, 17322606,45867333
6.7,38.0,62%,41%, 1461635,1461635
5.3,43.0,52%,18%, 8169,8169
7.0,43.0,52%,74%, 18244060,27642707
7.4,49.0,42%,75%, 50338485,65001485
7.1,70.0,84%,79%, 10465659,12633747
7.3,78.0,79%,77%, 17844216,24665649
7.4,64.0,78%,79%, 442813,878325
7.1,68.0,81%,88%, 33236,33236
5.5,15.0,4%,31%, 22163442,33953442
5.4,40.0,29%,38%, 17294293,18634654
6.2,48.0,46%,61%, 41076018,43325009
6.2,51.0,33%,50%, 28082366,160466000
7.5,80.0,80%,84%, 41675994,108846072
5.5,53.0,44%,31%, 126793,5484302
7.0,63.0,76%,82%, 4059680,9304609
3.5,27.0,14%,39%, 37191304,61141030
7.3,71.0,61%,29%, 490475,515900
7.2,73.0,86%,77%, 145794338,273144151
4.1,37.0,30%,33%, 16990825,18012097
7.0,75.0,93%,55%, 41385278,130549455
6.1,55.0,64%,44%, 605562,2622015
8.0,60.0,70%,89%, 1535286,16689283
7.6,28.0,35%,87%, 40311852,97818139
5.5,45.0,40%,38%, 91047077,167164779
5.7,32.0,29%,55%, 38252284,66468332
7.1,65.0,63%,84%, 78122718,115374915
5.9,34.0,30%,77%, 25916319,26306533
5.7,25.0,22%,67%, 40007742,51801187
6.3,29.0,26%,79%, 31178740,31283740
6.8,60.0,88%,83%, 8384929,18009625
6.6,46.0,46%,49%, 4850753,14569744
7.5,70.0,85%,91%, 314729,2042190
6.4,30.0,8%,64%, 12882934,12923936
4.2,34.0,19%,47%, 4365455,4544601
6.6,57.0,59%,52%, 9250301,12150301
5.8,69.0,77%,64%, 39089928,41604473
6.1,48.0,45%,65%, 69599016,73839240
5.5,25.0,12%,54%, 10200032,12517488
5.5,42.0,21%,27%, 22771646,24516772
5.8,49.0,45%,38%, 48430258,115121981
6.2,42.0,17%,48%, 7073251,13414416
5.6,48.0,48%,42%, 30307416,38068353
7.0,67.0,81%,79%, 3802390,3809226
7.6,90.0,92%,91%, 773228,1758689
5.8,24.0,22%,59%, 126293452,171269535
5.9,50.0,43%,61%, 32500,716888
7.2,90.0,86%,78%, 41308615,87754044
6.9,72.0,76%,80%, 4777465,6919198
7.0,76.0,98%,80%, 5594617,16153953
6.2,58.0,48%,47%, 12764657,14946150
7.4,35.0,27%,78%, 41281092,47494916
6.7,53.0,43%,69%, 97220,10366360
5.1,29.0,25%,39%, 81172560,115035090
7.0,57.0,78%,79%, 1239183,1239183
5.6,69.0,80%,51%, 40108697,60694737
5.8,31.0,28%,44%, 14448589,16872671
7.0,58.0,53%,77%, 213137,223426
6.8,41.0,37%,75%, 411119,685608
5.1,29.0,15%,32%, 28564995,34411240
6.6,66.0,60%,70%, 19161999,19344615
7.1,61.0,68%,81%, 16357770,21672284
4.5,17.0,7%,28%, 4842259,10959475
5.4,38.0,19%,30%, 47901582,186303759
6.3,53.0,45%,51%, 458232,458232
7.9,84.0,50%,63%, 1012153,4858869
4.8,31.0,38%,24%, 12840842,16446271
5.9,64.0,51%,40%, 232044,462976
5.5,32.0,25%,25%, 38082712,77885672
5.1,36.0,37%,54%, 14369,14369
5.8,37.0,41%,45%, 6073,68716
4.9,18.0,7%,36%, 8600126,15020293
6.0,33.0,53%,54%, 21679,21679
5.5,35.0,28%,35%, 33715436,81240406
5.6,63.0,69%,40%, 144008,144008
7.0,69.0,85%,67%, 31273922,45011434
6.7,59.0,74%,67%, 227966634,408247917
6.5,36.0,36%,66%, 134736,163348
6.8,69.0,80%,58%, 3065921,3369654
7.5,72.0,82%,81%, 201546,2845696
6.6,66.0,85%,73%, 32543449,76583333
5.6,54.0,62%,29%, 132177234,245285165
5.8,41.0,35%,62%, 36105433,50732139
6.0,,17%,46%, 8000,369194
5.3,42.0,44%,35%, 102543518,179179718
5.3,38.0,17%,27%, 22219192,34268701
5.5,28.0,16%,37%, 30113491,68349884
7.2,60.0,68%,74%, 93149898,209196298
5.9,37.0,27%,39%, 32130627,55003135
7.6,30.0,33%,81%, 57938693,95707652
7.6,31.0,19%,81%, 19955598,38955598
6.3,41.0,39%,58%, 279261160,514837517
5.4,30.0,21%,30%, 50547998,104391623
6.6,76.0,80%,65%, 465310,476551
4.7,45.0,39%,27%, 2512846,3438804
4.8,18.0,8%,64%, 10097538,10229331
6.5,45.0,34%,72%, 92770,7310206
3.6,18.0,5%,28%, 598645,1036520
6.6,56.0,43%,58%, 52802140,101191884
5.5,,25%,25%, 181600,1440653
6.7,50.0,43%,71%, 6532619,11832822
7.3,84.0,88%,71%, 7084227,25038417
7.3,40.0,33%,84%, 51268815,154648887
6.2,44.0,18%,63%, 140125968,258022233
6.8,51.0,54%,73%, 25296447,43928932
5.8,35.0,26%,75%, 33253609,33526835
6.5,32.0,14%,72%, 4430101,11705002
6.9,53.0,46%,83%, 29077547,31670620
6.2,62.0,54%,44%, 213307889,296655431
6.5,70.0,69%,62%, 811299,890502
3.4,16.0,3%,18%, 13258249,18902015
5.6,27.0,24%,35%, 15545431,17432163
7.4,63.0,83%,80%, 262450136,879465594
3.3,12.0,1%,33%, 40388794,43411001
6.1,32.0,40%,54%, 15418790,28650575
5.2,26.0,22%,86%, 1305964,1305964
6.9,71.0,84%,75%, 5853194,7777790
6.7,38.0,29%,65%, 57761012,115772733
6.4,52.0,60%,58%, 405792,750582
6.5,58.0,66%,90%, 27363891,28316451
4.6,23.0,3%,37%, 15567860,19233280
5.4,35.0,16%,33%, 33561137,50732945
6.4,33.0,24%,57%, 4480744,21148829
6.7,71.0,94%,73%, 11000,11000
7.1,57.0,71%,48%, 129128133,249348933
7.2,75.0,89%,69%, 441226247,923075336
7.1,77.0,75%,54%, 116750901,242875078
7.5,80.0,91%,88%, 20779666,41062976
6.6,66.0,71%,61%, 2063196,2704951
6.7,51.0,51%,55%, 179751,179751
5.5,48.0,40%,34%, 31186896,73498611
7.0,55.0,64%,78%, 1487645,4141740
5.3,50.0,53%,29%, 50030461,103951461
6.8,71.0,71%,77%, 549666,579986
7.1,82.0,86%,83%, 170687518,306776732
2.5,18.0,6%,13%, 6087542,7266209
6.9,63.0,79%,76%, 1179035,6586341
6.2,58.0,66%,54%, 60476872,88323487
5.6,61.0,61%,58%, 40390647,51843679
5.6,28.0,11%,45%, 19481943,43935763
7.3,78.0,94%,82%, 8112414,13904766
5.6,36.0,24%,37%, 35667218,63102666
6.1,54.0,61%,61%, 254683,254683
6.5,,60%,79%, 1015671,1015671
6.6,58.0,69%,75%, 150277,264349
6.3,66.0,83%,62%, 75782105,77063924
5.6,56.0,0%,12%, 21158188,30553394
5.8,63.0,82%,70%, 56399184,57588485
7.9,82.0,90%,86%, 249975996,796093802
6.7,73.0,68%,69%, 647054,4053156
6.5,45.0,34%,60%, 63860942,141337989
5.6,48.0,56%,42%, 139236327,172855065
6.2,52.0,42%,60%, 135645823,195745823
5.3,50.0,53%,44%, 28442574,33082548
3.6,13.0,4%,25%, 16670,16670
5.6,39.0,34%,49%, 132716677,164729679
5.5,28.0,20%,47%, 56127162,101564935
5.5,49.0,35%,54%, 110003217,220673217
6.4,,50%,73%, 1250798,1250798
5.8,36.0,25%,52%, 34712347,56489558
5.5,56.0,41%,49%, 42734455,55534455
7.0,45.0,53%,85%, 143121,143121
6.0,48.0,36%,49%, 160861908,363530196
6.2,65.0,66%,59%, 14973382,30002758
7.6,67.0,78%,85%, 13084595,23932055
7.0,70.0,78%,75%, 60060328,76488889
7.0,54.0,47%,72%, 11242801,20718608
3.7,19.0,0%,19%, 14307963,20154899
6.2,57.0,42%,49%, 5381908,22954068
6.5,60.0,66%,56%, 48058,48058
5.2,47.0,57%,51%, 51432760,62274780
7.7,67.0,83%,87%, 51680613,116650613
6.4,64.0,53%,40%, 26235081,31794718
6.2,38.0,48%,58%, 46961214,90342474
7.3,64.0,62%,75%, 52159536,90259536
7.1,71.0,78%,75%, 1587173,3651462
6.1,61.0,57%,38%, 6886089,8564586
6.7,59.0,69%,70%, 12251640,23014206
7.4,81.0,85%,80%, 93927920,210327920
7.0,71.0,78%,76%, 67406573,71406573
5.8,30.0,17%,44%, 66465204,179265204
7.0,70.0,84%,73%, 2528664,3282321
5.3,36.0,12%,29%, 5884190,6432551
6.9,55.0,53%,69%, 1571504,9439660
6.2,,44%,64%, 1755355,1775619
6.5,63.0,64%,58%, 41088845,55495563
7.1,61.0,73%,75%, 49443628,80154140
6.1,42.0,42%,59%, 93354851,199043242
6.4,43.0,40%,44%, 3212310,13585075
5.0,41.0,39%,31%, 47938330,58795814
6.0,47.0,29%,36%, 13728902,15249308
7.6,55.0,64%,72%, 59696144,244931766
6.6,48.0,33%,69%, 43734876,86468162
5.7,35.0,16%,44%, 10391003,10772580
5.5,45.0,39%,40%, 337174,435625
5.7,46.0,88%,83%, 20453431,26891849
6.7,46.0,48%,57%, 242829261,484592874
7.7,70.0,80%,86%, 16290476,60427839
4.9,42.0,16%,24%, 6489476,6801716
7.5,71.0,74%,83%, 13040288,16763804
7.2,83.0,96%,83%, 2078661,2816116
7.4,67.0,79%,84%, 58331254,68296293
6.8,64.0,81%,80%, 48462608,121975011
6.9,38.0,35%,79%, 52333738,53293628
7.3,83.0,93%,82%, 373585825,783766341
6.3,54.0,55%,63%, 32647042,33589427
6.0,44.0,27%,60%, 40226215,261703979
7.1,73.0,75%,79%, 244082982,461983149
5.5,39.0,27%,48%, 104297061,164433867
6.1,41.0,46%,64%, 82157,94615
6.7,54.0,46%,64%, 67303450,108040622
2.0,15.0,3%,10%, 10249719,13818181
8.0,90.0,97%,75%, 261441092,631606713
7.0,68.0,83%,86%, 106128601,176070171
6.9,66.0,71%,69%, 134029801,397850012
4.2,24.0,6%,18%, 1900451,11665465
5.7,64.0,56%,50%, 20991364,68514844
5.6,32.0,11%,41%, 14218698,15368897
7.0,69.0,77%,69%, 8291572,10464788
6.2,35.0,20%,60%, 51201453,129342769
6.0,41.0,38%,53%, 68671925,119240351
6.6,69.0,71%,71%, 1328679,1919197
6.0,47.0,29%,45%, 22414961,25819961
8.0,58.0,75%,89%, 66809693,122919055
6.4,47.0,44%,50%, 186740799,542771772
6.9,64.0,84%,79%, 173840591,220885524
5.6,45.0,27%,64%, 14195227,14308132
6.3,36.0,60%,82%, 742898,782606
7.2,63.0,39%,72%, 47398413,211652051
5.9,38.0,36%,50%, 127154901,236350661
6.1,70.0,70%,57%, 110230332,160846332
5.3,37.0,21%,71%, 30308417,62228395
6.3,64.0,56%,66%, 1420578,1599804
5.9,38.0,18%,47%, 17871255,30016165
6.3,40.0,67%,58%, 25032,459098
7.1,73.0,92%,79%, 2220008,2944752
5.8,37.0,18%,38%, 8725813,11416075
6.2,38.0,88%,82%, 80571655,107362708
7.0,40.0,27%,79%, 13001257,21741598
4.9,38.0,20%,34%, 16377,16377
5.5,36.0,22%,46%, 22738671,23727734
5.5,44.0,30%,47%, 38125247,38620484
7.3,61.0,82%,74%, 36906460,65565672
8.0,63.0,79%,86%, 305413918,654264015
4.6,36.0,23%,54%, 22076772,23510601
5.2,29.0,16%,81%, 254293,254293
5.1,49.0,44%,40%, 37667746,45490616
6.7,48.0,38%,70%, 10167373,10777375
5.5,33.0,13%,33%, 30158,30158
7.9,84.0,88%,89%, 90135191,156595191
6.7,67.0,75%,71%, 155019340,336002996
7.5,52.0,60%,84%, 42070939,47913828
5.3,42.0,26%,30%, 59484742,101297248
5.5,24.0,4%,40%, 16328471,25449487
5.9,49.0,32%,34%, 24008137,72178895
3.3,27.0,9%,18%, 40202379,82102379
7.7,80.0,90%,73%, 75286229,124596398
6.2,53.0,50%,57%, 22918387,27388767
6.7,59.0,69%,66%, 47726342,80981914
5.1,43.0,31%,54%, 34432201,34622504
7.7,47.0,39%,89%, 77911774,130293714
6.8,70.0,81%,77%, 4601043,10128960
6.7,52.0,62%,78%, 43610723,58878723
6.3,43.0,54%,63%, 104565114,230990229
6.8,48.0,37%,65%, 85336277,250397798
3.4,19.0,10%,23%, 26276465,39267515
5.7,37.0,41%,50%, 82622655,114908830
7.3,72.0,78%,76%, 120277854,148336445
